Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
WHAT DOES THE TERM DIVINE RIGHT MEAN?,Monarch is God’s representative on earth,Monarchs are elected by the people,Kings are chosen by nobles,Power lies with the parliament
WHAT WAS THE 30 YEARS’ WAR? WHAT WAS THE OUTCOME?,"Devastated Germany, weakened Spain & Austria, strengthened France",Created the Holy Roman Empire,Led to peace across Europe,Gave independence to colonies
WHAT TYPE OF GOVERNMENT DID ENGLAND HAVE AT THE END OF THE 1600S?,Constitutional monarchy,Absolute monarchy,Democracy,Theocracy
WHAT WERE PHILIP II OF SPAIN’S ACCOMPLISHMENTS?,Supported the arts and defended Catholic Church,Led a Protestant Reformation,Created the Magna Carta,Established parliamentary rule
WHO WAS FRANCE’S MOST POWERFUL RULER AND ONE WHO SAID 'I AM THE STATE'?,Louis XIV,Napoleon,Robespierre,Charles X
WHY DID PETER THE GREAT BUILD ST. PETERSBURG?,Wanted a city on a seacoast to ease travel west,To isolate Russia,As a religious center,To escape conflict in Moscow
WHAT FACTOR CAUSED GROWTH OF ABSOLUTE RULERS?,Religious & territorial wars,Industrial revolution,Scientific discoveries,Trade with Asia
WHAT WAS PETER’S GOAL WHILE RULING RUSSIA?,Modernize / westernize Russia,Reinforce feudalism,Promote isolationism,Expand to China
WHAT WAS THE PURPOSE OF THE ENGLISH BILL OF RIGHTS?,Place limits on monarch’s power,Increase monarch’s authority,Establish religious law,Create new colonies
WHY WAS IVAN CALLED 'TERRIBLE'?,Used secret police to kill his enemies,Wrote harsh laws,Banned religion,Raised taxes on the nobles
WHO PROPOSED THE HELIOCENTRIC THEORY?,Nicolaus Copernicus,Isaac Newton,Galileo Galilei,Aristotle
THIS SCIENTIST URGED OTHERS TO EXPERIMENT AND HELPED DEVELOP THE SCIENTIFIC METHOD,Francis Bacon,Isaac Newton,Galileo Galilei,Voltaire
WHICH PERSON FOUNDED THE LAW OF GRAVITY?,Isaac Newton,Galileo Galilei,Francis Bacon,Descartes
